PERSON_ID,DISPLAY_FIRST_LAST,TEAM_NAME,TEAM_ABBREVIATION,GAMES_PLAYED_FLAG
203648,Thanasis Antetokounmpo,Bucks,MIL,Y
1628962,Udoka Azubuike,Suns,PHX,Y
1630641,Ibou Badji,Trail Blazers,POR,Y
1641735,Amari Bailey,Hornets,CHA,Y
1641734,Emoni Bates,Cavaliers,CLE,Y
1628966,Keita Bates-Diop,Nets,BKN,Y
1629647,Darius Bazley,Jazz,UTA,Y
1631262,Jules Bernard,Wizards,WAS,Y
202722,Davis Bertans,Hornets,CHA,Y
201976,Patrick Beverley,Bucks,MIL,Y
1630180,Saddiq Bey,Hawks,ATL,Y
1641931,Onuralp Bitim,Bulls,CHI,Y
202687,Bismack Biyombo,Thunder,OKC,Y
1641778,Leaky Black,Hornets,CHA,Y
1631205,Buddy Boeheim,Pistons,DET,Y
202711,Bojan Bogdanović,Knicks,NYK,Y
1629716,Marques Bolden,Hornets,CHA,Y
1631123,Jamaree Bouyea,Spurs,SAS,Y
1629052,Oshae Brissett,Celtics,BOS,Y
1628971,Bruce Brown,Raptors,TOR,Y
1631112,Kendall Brown,Pacers,IND,Y
1629650,Moses Brown,Trail Blazers,POR,Y
1630535,Greg Brown III,Mavericks,DAL,Y
1629718,Charlie Brown Jr.,Knicks,NYK,Y
1628972,Troy Brown Jr.,Pistons,DET,Y
203493,Reggie Bullock Jr.,Rockets,HOU,Y
1630618,D.J. Carton,Raptors,TOR,Y
203496,Robert Covington,76ers,PHI,Y
1629603,Mamadi Diakite,Knicks,NYK,Y
1630929,Henri Drell,Bulls,CHI,Y
1641787,Tosan Evbuomwan,Pistons,DET,Y
203957,Danté Exum,Mavericks,DAL,Y
1630201,Malachi Flynn,Pistons,DET,Y
1630259,Jordan Ford,Kings,SAC,Y
1630235,Trent Forrest,Hawks,ATL,Y
203095,Evan Fournier,Pistons,DET,Y
1631241,Javon Freeman-Liberty,Raptors,TOR,Y
1641788,Alex Fudge,Mavericks,DAL,Y
1628365,Markelle Fultz,Magic,ORL,Y
1641847,Andrew Funk,Bulls,CHI,Y
201568,Danilo Gallinari,Bucks,MIL,Y
1630586,Usman Garuba,Warriors,GSW,Y
1628385,Harry Giles III,Lakers,LAL,Y
1631367,Jacob Gilyard,Nets,BKN,Y
1630692,Jordan Goodwin,Grizzlies,MEM,Y
1628984,Devonte' Graham,Spurs,SAS,Y
1630564,RaiQuan Gray,Spurs,SAS,Y
1631100,AJ Griffin,Hawks,ATL,Y
1631338,Mouhamadou Gueye,Raptors,TOR,Y
1630204,Ashton Hagans,Trail Blazers,POR,Y
1630284,Kevon Harris,Magic,ORL,Y
202330,Gordon Hayward,Thunder,OKC,Y
1630792,Malcolm Hill,Pelicans,NOP,Y
1630207,Nate Hinton,Rockets,HOU,Y
203200,Justin Holiday,Nuggets,DEN,Y
1641713,GG Jackson,Grizzlies,MEM,Y
1641749,Keyontae Johnson,Thunder,OKC,Y
1627745,Damian Jones,Cavaliers,CLE,Y
1630296,Braxton Key,Nuggets,DEN,Y
1630639,A.J. Lawson,Mavericks,DAL,Y
1630240,Saben Lee,Suns,PHX,Y
202695,Kawhi Leonard,Clippers,LAC,Y
1630184,Kira Lewis Jr.,Jazz,UTA,Y
1629642,Nassir Little,Suns,PHX,Y
1631254,Kenneth Lofton Jr.,Jazz,UTA,Y
1641754,Seth Lundy,Hawks,ATL,Y
1626246,Boban Marjanović,Rockets,HOU,Y
202083,Wesley Matthews,Hawks,ATL,Y
1630219,Skylar Mays,Lakers,LAL,Y
1629667,Jalen McDaniels,Raptors,TOR,Y
201580,JaVale McGee,Kings,SAC,Y
1629002,Chimezie Metu,Pistons,DET,Y
1631159,Leonard Miller,Timberwolves,MIN,Y
1630600,Isaiah Mobley,Cavaliers,CLE,Y
1629875,Xavier Moon,Clippers,LAC,Y
202694,Marcus Morris Sr.,Cavaliers,CLE,Y
203488,Mike Muscala,Thunder,OKC,Y
1631250,Pete Nance,Cavaliers,CLE,Y
1629670,Jordan Nwora,Raptors,TOR,Y
1629643,Chuma Okeke,Magic,ORL,Y
1630647,Eugene Omoruyi,Wizards,WAS,Y
1626224,Cedi Osman,Spurs,SAS,Y
1630197,Aleksej Pokusevski,Hornets,CHA,Y
1630554,Jason Preston,Jazz,UTA,Y
1631311,Lester Quinones,Warriors,GSW,Y
1631197,Jared Rhoden,Pistons,DET,Y
1629010,Jerome Robinson,Warriors,GSW,Y
1629011,Mitchell Robinson,Knicks,NYK,Y
201565,Derrick Rose,Grizzlies,MEM,Y
1630346,Matt Ryan,Pelicans,NOP,Y
1629677,Luka Samanic,Jazz,UTA,Y
1631257,Jermaine Samuels Jr.,Rockets,HOU,Y
1630846,Olivier Sarr,Thunder,OKC,Y
1629678,Admiral Schofield,Magic,ORL,Y
1631220,Dereon Seabron,Pelicans,NOP,Y
1629013,Landry Shamet,Wizards,WAS,Y
1641771,Jalen Slawson,Kings,SAC,Y
1631173,Terquavion Smith,76ers,PHI,Y
1628372,Dennis Smith Jr.,Nets,BKN,Y
1630205,Lamar Stevens,Grizzlies,MEM,Y
202738,Isaiah Thomas,Suns,PHX,Y
1629680,Matisse Thybulle,Trail Blazers,POR,Y
200782,P.J. Tucker,Clippers,LAC,Y
1629020,Jarred Vanderbilt,Lakers,LAL,Y
1628426,Sasha Vezenkov,Kings,SAC,Y
1641774,Tristan Vukcevic,Wizards,WAS,Y
1630688,Ish Wainright,Suns,PHX,Y
1629022,Lonnie Walker IV,Nets,BKN,Y
203933,T.J. Warren,Timberwolves,MIN,Y
1630613,Duane Washington Jr.,Knicks,NYK,Y
1629139,Yuta Watanabe,Grizzlies,MEM,Y
1631119,Jaylin Williams,Thunder,OKC,Y
1642013,Malik Williams,Raptors,TOR,Y
1629685,Dylan Windler,Hawks,ATL,Y
1626174,Christian Wood,Lakers,LAL,Y
201152,Thaddeus Young,Suns,PHX,Y
1630209,Omer Yurtseven,Jazz,UTA,Y
203469,Cody Zeller,Pelicans,NOP,Y
